Name,P1 - Max Iterations,P2 - Base Duty Speed [rev min^-1],P3 - Mass Flow [kg s^-1],P4 - Percent Speed,P5 - Max Iterations,P6 - baseSpeed [radian s^-1],P7 - massflow [kg s^-1],P8 - percentSpeed,P9 - Current Time Step,P10 - Isentropic Efficiency (t-t),P11 - P0 Ratio (t-t),P12 - T0 Ratio (t-t),P13 - Mass Flow [kg s^-1]
DP 55,200,80000,0.1657,65,200,8377.580409,0.1657,65,65,90.0682,1.9594,1.23946,0.1657
DP 56,200,80000,0.1562,65,200,8377.580409,0.1562,65,78,89.0472,1.95868,1.24251,0.1562
DP 57,200,80000,0.1988,60,200,8377.580409,0.1988,60,55,91.0243,1.71435,1.18513,0.1988
DP 58,200,80000,0.1893,60,200,8377.580409,0.1893,60,56,91.1179,1.73094,1.18857,0.1893
DP 59,200,80000,0.1799,60,200,8377.580409,0.1799,60,56,91.1366,1.74666,1.19202,0.1799
DP 60,200,80000,0.1704,60,200,8377.580409,0.1704,60,58,91.0507,1.76097,1.19545,0.1704
DP 61,200,80000,0.1609,60,200,8377.580409,0.1609,60,58,90.8342,1.77445,1.1991,0.1609
DP 62,200,80000,0.1515,60,200,8377.580409,0.1515,60,65,90.3648,1.7857,1.20285,0.1515
DP 63,200,80000,0.142,60,200,8377.580409,0.142,60,74,89.3555,1.78793,1.20614,0.142
DP 64,200,80000,0.1846,55,200,8377.580409,0.1846,55,64,91.1834,1.57101,1.15305,0.1846
DP 65,200,80000,0.1751,55,200,8377.580409,0.1751,55,60,91.296,1.58566,1.15623,0.1751
DP 66,200,80000,0.1657,55,200,8377.580409,0.1657,55,57,91.3366,1.59976,1.15944,0.1657
DP 67,200,80000,0.1562,55,200,8377.580409,0.1562,55,58,91.2679,1.6131,1.1627,0.1562
DP 68,200,80000,0.1467,55,200,8377.580409,0.1467,55,58,91.0435,1.62525,1.16607,0.1467
DP 69,200,80000,0.1373,55,200,8377.580409,0.1373,55,61,90.5759,1.63609,1.16966,0.1373
DP 70,200,80000,0.1278,55,200,8377.580409,0.1278,55,77,89.4931,1.63923,1.17287,0.1278
DP 71,200,80000,0.1704,50,200,8377.580409,0.1704,50,58,91.2723,1.4508,1.12466,0.1704
DP 72,200,80000,0.1609,50,200,8377.580409,0.1609,50,61,91.4048,1.4629,1.12741,0.1609
DP 73,200,80000,0.1515,50,200,8377.580409,0.1515,50,60,91.4532,1.47495,1.13027,0.1515
DP 74,200,80000,0.142,50,200,8377.580409,0.142,50,58,91.4017,1.48683,1.13328,0.142
DP 75,200,80000,0.1325,50,200,8377.580409,0.1325,50,58,91.1692,1.49808,1.13643,0.1325
DP 76,200,80000,0.1231,50,200,8377.580409,0.1231,50,59,90.6535,1.50783,1.13979,0.1231
DP 77,200,80000,0.1136,50,200,8377.580409,0.1136,50,78,89.4609,1.51098,1.14282,0.1136
DP 78,200,80000,0.1562,45,200,8377.580409,0.1562,45,57,91.2778,1.34899,1.09937,0.1562
DP 79,200,80000,0.1467,45,200,8377.580409,0.1467,45,58,91.4405,1.35972,1.10192,0.1467
DP 80,200,80000,0.1373,45,200,8377.580409,0.1373,45,59,91.514,1.37004,1.10447,0.1373
DP 81,200,80000,0.1278,45,200,8377.580409,0.1278,45,58,91.4594,1.38022,1.10715,0.1278
DP 82,200,80000,0.1183,45,200,8377.580409,0.1183,45,57,91.2053,1.38991,1.10999,0.1183
DP 83,200,80000,0.1089,45,200,8377.580409,0.1089,45,59,90.6064,1.39851,1.1131,0.1089
DP 84,200,80000,0.0994,45,200,8377.580409,0.0994,45,75,89.2878,1.40137,1.1159,0.0994
DP 85,200,80000,0.142,40,200,8377.580409,0.142,40,54,91.1765,1.26365,1.07717,0.142
DP 86,200,80000,0.1325,40,200,8377.580409,0.1325,40,54,91.3897,1.27301,1.07946,0.1325
DP 87,200,80000,0.1231,40,200,8377.580409,0.1231,40,56,91.4888,1.28194,1.08177,0.1231
DP 88,200,80000,0.1136,40,200,8377.580409,0.1136,40,56,91.441,1.29079,1.08418,0.1136
DP 89,200,80000,0.1041,40,200,8377.580409,0.1041,40,57,91.1488,1.29896,1.08668,0.1041
DP 90,200,80000,0.0947,40,200,8377.580409,0.0947,40,58,90.4278,1.30608,1.08949,0.0947
DP 91,200,80000,0.0852,40,200,8377.580409,0.0852,40,70,89.0345,1.30887,1.09205,0.0852
DP 92,200,80000,0.1278,35,200,8377.580409,0.1278,35,56,90.983,1.19305,1.05797,0.1278
DP 93,200,80000,0.1183,35,200,8377.580409,0.1183,35,56,91.262,1.20105,1.05999,0.1183
DP 94,200,80000,0.1089,35,200,8377.580409,0.1089,35,55,91.3899,1.20865,1.06202,0.1089
DP 95,200,80000,0.0994,35,200,8377.580409,0.0994,35,57,91.3643,1.21601,1.06411,0.0994
DP 96,200,80000,0.0899,35,200,8377.580409,0.0899,35,57,91.0097,1.22302,1.06635,0.0899
DP 97,200,80000,0.0805,35,200,8377.580409,0.0805,35,59,90.0783,1.2288,1.06885,0.0805
DP 98,200,80000,0.071,35,200,8377.580409,0.071,35,67,88.6033,1.23155,1.07114,0.071
DP 99,200,80000,0.1136,30,200,8377.580409,0.1136,30,58,90.648,1.13526,1.04164,0.1136
DP 100,200,80000,0.1041,30,200,8377.580409,0.1041,30,55,91.0285,1.14201,1.04338,0.1041
DP 101,200,80000,0.0947,30,200,8377.580409,0.0947,30,56,91.2368,1.14844,1.04512,0.0947
DP 102,200,80000,0.0852,30,200,8377.580409,0.0852,30,56,91.2141,1.15464,1.04694,0.0852
DP 103,200,80000,0.0757,30,200,8377.580409,0.0757,30,56,90.7563,1.16048,1.04892,0.0757
DP 104,200,80000,0.0663,30,200,8377.580409,0.0663,30,56,89.5189,1.16493,1.05111,0.0663
DP 105,200,80000,0.0568,30,200,8377.580409,0.0568,30,64,87.8782,1.16747,1.05312,0.0568
