                     	 run on:           at:            by:       	 Model Author:           	 Thermo Used:       
ALL IN SI UNITS

        Conv  Iter       Mode     alt[m]         M0   Pamb[Pa]    Tamb[K]    Tt4_Tt2  Win[kg/s]  Wfuel[kg/s]  Wout[kg/s]      Fg[N]      Fn[N]       Fram        SFC  EtaThermal[%]    CmpH_Wc     HPC_PR    HPC_eff  HPC_effpoly     HPT_PR    HPT_eff  HPT_effPoly         N2    A0[cm2]         M0    Pt0[Pa]     Tt0[K]    A2[cm2]  W2In[kg/s]  W2Out[kg/s]  rad2Hub[cm]  rad2Tip[cm]         M2  V2In[m/s]  V2Out[m/s]  Pt2In[Pa]  Pt2Out[Pa]   Tt2In[K]  Tt2Out[K]  cp2In[J/(kg*K)]  cp2Out[J/(kg*K)]     gam2In    gam2Out  R2In[J/(kg*K)]  R2Out[J/(kg*K)]  ht2In[J/kg]  ht2Out[J/kg]  A3ExhIn[cm2]  A3ExhOut[cm2]      M3Exh  V3Exh[m/s]  Pt3ExhIn[Pa]  Pt3ExhOut[Pa]  Tt3Exh[K]     cp3Exh    gam3Exh      R3Exh    dpqpExh    A3[cm2]  rad3Hub[cm]  rad3Tip[cm]         M3    Pt3[Pa]     Tt3[K]  A4Exh[cm2]      M4Exh  Pt4Exh[Pa]  Tt4Exh[K]     cp4Exh    gam4Exh      R4Exh    A4[cm2]  rad4Hub[cm]  rad4Tip[cm]         M4    Pt4[Pa]     Tt4[K]  A5Exh[cm2]      M5Exh  Pt5Exh[Pa]  Tt5Exh[K]     cp5Exh    gam5Exh      R5Exh    A5[cm2]  rad5Hub[cm]  rad5Tip[cm]         M5    Pt5[Pa]     Tt5[K]  NozA[cm2]  radNoz[cm]      NozMN  PtNoz[Pa]   TtNoz[K]  VNoz[m/s]  PsNoz[Pa]   TsNoz[K]  BurnInW[kg/s]  BurnInht[J/kg]  BurnOuht[J/kg]  BurnOuW[kg/s] 
    10     1    10     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.32E-01    0.0053500    5.38E-01    100.005    100.005      0.000   1.93E-01          3.754   5.40E-01      3.200   7.07E-01     7.50E-01      2.730   7.27E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     35.710    5.32E-01     5.32E-01        1.800        3.822   4.00E-01    134.315     134.271  99804.985    3.19E+05    288.150    447.420         1010.832          1027.377      1.399      1.390         288.512          288.512     2.90E+05      4.52E+05        16.854         26.224   3.20E-01     134.271      3.19E+05       3.17E+05    447.420   1027.377      1.390    288.512   8.69E-03     26.224        1.800        3.404   2.00E-01   3.17E+05    447.420      39.056   2.00E-01    3.04E+05    864.449   1139.408      1.339    288.472     20.910        3.000        3.957   4.00E-01   3.04E+05    864.449      58.064   3.50E-01    1.11E+05    721.457   1104.067      1.354    288.472     58.651        3.000        5.260   3.50E-01   1.10E+05    721.457     58.060       4.299   3.54E-01   1.10E+05    721.457    186.039   1.01E+05    705.755        0.53222       452414.94       908919.61        0.53757 
    11     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.15E-01    0.0052381    5.20E-01    100.000    100.000      0.000   1.89E-01          3.963   5.23E-01      3.100   7.09E-01     7.50E-01      2.631   7.26E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     34.544    5.15E-01     5.15E-01        1.800        3.773   4.00E-01    134.315     133.495  99804.985    3.09E+05    288.150    442.129         1010.832          1026.505      1.399      1.391         288.512          288.512     2.90E+05      4.47E+05        16.727         26.027   3.20E-01     133.495      3.09E+05       3.07E+05    442.129   1026.505      1.391    288.512   8.70E-03     26.027        1.800        3.395   2.00E-01   3.07E+05    442.129      39.005   2.00E-01    2.94E+05    864.449   1139.615      1.339    288.471     20.883        3.000        3.956   4.00E-01   2.94E+05    864.449      56.086   3.50E-01    1.12E+05    726.369   1105.521      1.353    288.471     56.652        3.000        5.199   3.50E-01   1.11E+05    726.369     54.643       4.171   3.65E-01   1.11E+05    726.369    192.287   1.01E+05    709.614        0.51484       446980.58       909027.66        0.52008 
    12     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   5.00E-01    0.0051530    5.06E-01    100.001    100.001      0.000   1.86E-01          4.144   5.08E-01      3.000   7.10E-01     7.50E-01      2.535   7.25E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     33.572    5.00E-01     5.00E-01        1.800        3.732   4.00E-01    134.315     132.697  99804.985    2.99E+05    288.150    436.726         1010.832          1025.609      1.399      1.391         288.512          288.512     2.90E+05      4.41E+05        16.693         25.973   3.20E-01     132.697      2.99E+05       2.97E+05    436.726   1025.609      1.391    288.512   8.70E-03     25.973        1.800        3.392   2.00E-01   2.97E+05    436.726      39.177   2.00E-01    2.85E+05    864.449   1139.827      1.339    288.471     20.975        3.000        3.959   4.00E-01   2.85E+05    864.449      54.461   3.50E-01    1.12E+05    731.372   1107.001      1.352    288.471     55.011        3.000        5.149   3.50E-01   1.11E+05    731.372     51.917       4.065   3.75E-01   1.11E+05    731.372    197.831   1.01E+05    713.659        0.50035       441436.42       909137.82        0.50551 
    13     1    10     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.88E-01    0.0050917    4.93E-01    100.005    100.005      0.000   1.83E-01          4.297   4.96E-01      2.900   7.11E-01     7.50E-01      2.440   7.24E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     32.768    4.88E-01     4.88E-01        1.800        3.697   4.00E-01    134.315     131.875  99804.985    2.89E+05    288.150    431.206         1010.832          1024.693      1.399      1.392         288.512          288.512     2.90E+05      4.36E+05        16.746         26.055   3.20E-01     131.875      2.89E+05       2.87E+05    431.206   1024.693      1.392    288.512   8.70E-03     26.055        1.800        3.396   2.00E-01   2.87E+05    431.206      39.564   2.00E-01    2.75E+05    864.449   1140.042      1.339    288.470     21.182        3.000        3.968   4.00E-01   2.75E+05    864.449      53.147   3.50E-01    1.13E+05    736.469   1108.510      1.352    288.470     53.684        3.000        5.108   3.50E-01   1.12E+05    736.469     49.766       3.980   3.83E-01   1.12E+05    736.469    202.665   1.01E+05    717.903        0.48838       435777.17       909250.34        0.49347 
    14     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.79E-01    0.0050514    4.84E-01    100.003    100.003      0.000   1.82E-01          4.419   4.86E-01      2.800   7.12E-01     7.50E-01      2.348   7.23E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     32.109    4.79E-01     4.79E-01        1.800        3.669   4.00E-01    134.315     131.028  99804.985    2.79E+05    288.150    425.562         1010.832          1023.800      1.399      1.392         288.512          288.512     2.90E+05      4.30E+05        16.881         26.265   3.20E-01     131.028      2.79E+05       2.77E+05    425.562   1023.800      1.392    288.512   8.70E-03     26.265        1.800        3.406   2.00E-01   2.77E+05    425.562      40.158   2.00E-01    2.66E+05    864.449   1140.262      1.339    288.470     21.500        3.000        3.980   4.00E-01   2.66E+05    864.449      52.103   3.50E-01    1.13E+05    741.667   1110.049      1.351    288.470     52.630        3.000        5.075   3.50E-01   1.12E+05    741.667     48.092       3.913   3.89E-01   1.12E+05    741.667    206.799   1.01E+05    722.361        0.47854       429996.43       909365.20        0.48359 
    15     1     6     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.71E-01    0.0050315    4.76E-01     99.997     99.997      0.000   1.81E-01          4.509   4.78E-01      2.700   7.14E-01     7.50E-01      2.258   7.22E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     31.585    4.71E-01     4.71E-01        1.800        3.646   4.00E-01    134.315     130.153  99804.985    2.69E+05    288.150    419.788         1010.832          1022.944      1.399      1.393         288.512          288.512     2.90E+05      4.24E+05        17.102         26.608   3.20E-01     130.153      2.69E+05       2.67E+05    419.788   1022.944      1.393    288.512   8.71E-03     26.608        1.800        3.422   2.00E-01   2.67E+05    419.788      40.974   2.00E-01    2.56E+05    864.449   1140.488      1.339    288.469     21.937        3.000        3.998   4.00E-01   2.56E+05    864.449      51.320   3.50E-01    1.14E+05    746.971   1111.620      1.350    288.469     51.839        3.000        5.050   3.50E-01   1.12E+05    746.971     46.855       3.862   3.95E-01   1.12E+05    746.971    210.185   1.01E+05    727.054        0.47074       424086.59       909482.81        0.47577 
    16     1     7     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.65E-01    0.0050323    4.70E-01    100.003    100.003      0.000   1.81E-01          4.565   4.72E-01      2.600   7.15E-01     7.50E-01      2.171   7.21E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     31.194    4.65E-01     4.65E-01        1.800        3.629   4.00E-01    134.315     129.250  99804.985    2.59E+05    288.150    413.874         1010.832          1022.127      1.399      1.393         288.512          288.512     2.90E+05      4.18E+05        17.413         27.093   3.20E-01     129.250      2.59E+05       2.57E+05    413.874   1022.127      1.393    288.512   8.73E-03     27.093        1.800        3.444   2.00E-01   2.57E+05    413.874      42.031   2.00E-01    2.47E+05    864.450   1140.718      1.338    288.469     22.503        3.000        4.020   4.00E-01   2.47E+05    864.450      50.792   3.50E-01    1.14E+05    752.388   1113.225      1.350    288.469     51.305        3.000        5.033   3.50E-01   1.13E+05    752.388     46.022       3.827   3.98E-01   1.13E+05    752.388    212.804   1.01E+05    732.000        0.46491       418039.05       909603.17        0.46994 
    17     1     5     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.61E-01    0.0050532    4.66E-01    100.010    100.010      0.000   1.82E-01          4.585   4.68E-01      2.500   7.17E-01     7.50E-01      2.085   7.19E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     30.926    4.61E-01     4.61E-01        1.800        3.617   4.00E-01    134.315     128.315  99804.985    2.50E+05    288.150    407.811         1010.832          1021.353      1.399      1.394         288.512          288.512     2.90E+05      4.12E+05        17.819         27.725   3.20E-01     128.315      2.50E+05       2.47E+05    407.811   1021.353      1.394    288.512   8.74E-03     27.725        1.800        3.473   2.00E-01   2.47E+05    407.811      43.344   2.00E-01    2.37E+05    864.450   1140.954      1.338    288.468     23.206        3.000        4.048   4.00E-01   2.37E+05    864.450      50.506   3.50E-01    1.14E+05    757.926   1114.867      1.349    288.468     51.016        3.000        5.024   3.50E-01   1.13E+05    757.926     45.565       3.808   4.00E-01   1.13E+05    757.926    214.637   1.01E+05    737.216        0.46091       411844.27       909726.25        0.46596 
    18     1     5     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.59E-01    0.0050950    4.64E-01    100.009    100.009      0.000   1.83E-01          4.568   4.66E-01      2.400   7.18E-01     7.50E-01      2.001   7.18E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     30.781    4.59E-01     4.59E-01        1.800        3.611   4.00E-01    134.315     127.348  99804.985    2.40E+05    288.150    401.589         1010.832          1020.624      1.399      1.394         288.512          288.512     2.90E+05      4.05E+05        18.331         28.521   3.20E-01     127.348      2.40E+05       2.37E+05    401.589   1020.624      1.394    288.512   8.75E-03     28.521        1.800        3.510   2.00E-01   2.37E+05    401.589      44.947   2.00E-01    2.28E+05    864.450   1141.195      1.338    288.468     24.064        3.000        4.082   4.00E-01   2.28E+05    864.450      50.468   3.50E-01    1.14E+05    763.594   1116.548      1.348    288.468     50.978        3.000        5.023   3.50E-01   1.13E+05    763.594     45.491       3.805   4.01E-01   1.13E+05    763.594    215.611   1.01E+05    742.727        0.45876       405491.55       909852.37        0.46385 
    19     1     8     DESIGN      0.000      0.000   1.01E+05    288.150      3.000   4.59E-01    0.0051595    4.64E-01    100.002    100.002      0.000   1.86E-01          4.512   4.65E-01      2.300   7.20E-01     7.50E-01      1.919   7.17E-01     7.00E-01   9.46E-01   5.16E+09      0.000   1.01E+05    288.150     30.765    4.59E-01     4.59E-01        1.800        3.610   4.00E-01    134.315     126.346  99804.985    2.30E+05    288.150    395.196         1010.832          1019.920      1.399      1.394         288.512          288.512     2.90E+05      3.99E+05        18.962         29.503   3.20E-01     126.346      2.30E+05       2.28E+05    395.196   1019.920      1.394    288.512   8.71E-03     29.503        1.800        3.554   2.00E-01   2.28E+05    395.196      46.883   2.00E-01    2.18E+05    864.449   1141.443      1.338    288.467     25.100        3.000        4.122   4.00E-01   2.18E+05    864.449      50.690   3.50E-01    1.14E+05    769.402   1118.269      1.348    288.467     51.202        3.000        5.030   3.50E-01   1.13E+05    769.402     45.815       3.819   3.99E-01   1.13E+05    769.402    215.681   1.01E+05    748.553        0.45851       398969.11       909981.17        0.46367 
